ancien_cip13;ancien_code_barres;garde_cip13;garde_code_barres;regle;libelle
3400952026948;3700028501455;;3700028501455;A groupe 9 : meme code-barres;SYSTANE ULT UD GTT OCUL BT30 T
3400923074596;3401064412773;;3401064412773;A groupe 10 : meme code-barres;JELONET COMP PARAF10X40CM 10 T
3400964412777;3401064412773;;3401064412773;A groupe 10 : meme code-barres;JELONET COMP PARAF10X40CM 10 T
3400923491874;5000223491871;;5000223491871;A groupe 11 : meme code-barres;ALLEVYN GENT BOR 10X30CM 10 T
3400960366241;5000223491871;;5000223491871;A groupe 11 : meme code-barres;ALLEVYN GENT BOR 10X30CM 10 T
3400940000103;3615840000102;;3615840000102;A groupe 12 : meme code-barres;CARE+ PHYSIOLOGIC SOLUTION
3400962612148;3615840000102;;3615840000102;A groupe 12 : meme code-barres;CARE+ PHYSIOLOGIC SOLUTION
3400960966694;3701172200027;;3701172200027;A groupe 13 : meme code-barres;GYNEFAM SUPRA CAPS BT 90
3400972200021;3701172200027;;3701172200027;A groupe 13 : meme code-barres;GYNEFAM SUPRA CAPS BT 90
3400960966687;3701172200010;;3701172200010;A groupe 14 : meme code-barres;GYNEFAM SUPRA CAPS BT 30
3400972200014;3701172200010;;3701172200010;A groupe 14 : meme code-barres;GYNEFAM SUPRA CAPS BT 30
3400962234272;3664798026771;;3664798026771;A groupe 15 : meme code-barres;MITOSYL CHANGE 145G EG
3400998026773;3664798026771;;3664798026771;A groupe 15 : meme code-barres;MITOSYL CHANGE 145G EG
3400930066201;4015630066209;;4015630066209;A groupe 17 : meme code-barres;ACCU-CHEK GUIDE Kit
3400961160640;4015630066209;;4015630066209;A groupe 17 : meme code-barres;ACCU-CHEK GUIDE Kit
3400962395362;3664798029222;;3664798029222;A groupe 18 : meme code-barres;MITOSYL CHANGE TUBE 65G FR
3400998029224;3664798029222;;3664798029222;A groupe 18 : meme code-barres;MITOSYL CHANGE TUBE 65G FR
3400939101248;4030539101240;;4030539101240;A groupe 19 : meme code-barres;SODIUM 0,9% ECOTAINER NACL 1L 1
3400963704064;4030539101240;;4030539101240;A groupe 19 : meme code-barres;SODIUM 0,9% ECOTAINER NACL 1L 1
3400967700154;3700567700159;;3700567700159;A groupe 20 : meme code-barres;VERSOL E STER  500ML FL
3400973958464;3700567700159;;3700567700159;A groupe 20 : meme code-barres;VERSOL E STER  500ML FL
3400967700994;3401078189623;;3401078189623;A groupe 21 : meme code-barres;VERSOL EAU STERILE 250ML FL
3400978189627;3401078189623;;3401078189623;A groupe 21 : meme code-barres;VERSOL EAU STERILE 250ML FL
3400922096322;3400922096322;3400930297575;3400930297575;B1 groupe 1 : 2209632 remplace par 3029757;TRAMADOL/PAR.ZEN 37,5/325 CP20
